[01-Jun-2014 16:15:56 PRC] PHP Fatal error:  Call to undefined method application\model\UserModel::getUserInfoByName() in /server/duorou/application/util/UserNamespace.php on line 55
[01-Jun-2014 16:15:56 PRC] PHP Stack trace:
[01-Jun-2014 16:15:56 PRC] PHP   1. {main}() /server/duorou/application/webroot/index.php:0
[01-Jun-2014 16:15:56 PRC] PHP   2. CApplication->run() /server/duorou/application/webroot/index.php:24
[01-Jun-2014 16:15:56 PRC] PHP   3. CWebApplication->processRequest() /server/duorou/system/base/CApplication.php:94
[01-Jun-2014 16:15:56 PRC] PHP   4. CWebApplication->runController() /server/duorou/system/web/CWebApplication.php:6
[01-Jun-2014 16:15:56 PRC] PHP   5. CController->run() /server/duorou/system/web/CWebApplication.php:13
[01-Jun-2014 16:15:56 PRC] PHP   6. CController->runAction() /server/duorou/system/web/CController.php:7
[01-Jun-2014 16:15:56 PRC] PHP   7. Index->testAction() /server/duorou/system/web/CController.php:26
[01-Jun-2014 16:15:56 PRC] PHP   8. application\util\UserNamespace::loginIn() /server/duorou/application/controller/Index.php:15
[01-Jun-2014 16:15:56 PRC] PHP   9. application\util\UserNamespace::validUser() /server/duorou/application/util/UserNamespace.php:28
[01-Jun-2014 18:09:55 PRC] PHP Fatal error:  Undefined constant 'util\form\validator' in /server/duorou/util/form/validator/RegexpConfig.php on line 2
[01-Jun-2014 18:09:55 PRC] PHP Stack trace:
[01-Jun-2014 18:09:55 PRC] PHP   1. {main}() /server/duorou/application/webroot/index.php:0
[01-Jun-2014 18:09:55 PRC] PHP   2. CApplication->run() /server/duorou/application/webroot/index.php:24
[01-Jun-2014 18:09:55 PRC] PHP   3. CWebApplication->processRequest() /server/duorou/system/base/CApplication.php:94
[01-Jun-2014 18:09:55 PRC] PHP   4. CWebApplication->runController() /server/duorou/system/web/CWebApplication.php:6
[01-Jun-2014 18:09:55 PRC] PHP   5. CController->run() /server/duorou/system/web/CWebApplication.php:13
[01-Jun-2014 18:09:55 PRC] PHP   6. CController->runAction() /server/duorou/system/web/CController.php:7
[01-Jun-2014 18:09:55 PRC] PHP   7. Index->testAction() /server/duorou/system/web/CController.php:26
[01-Jun-2014 18:09:55 PRC] PHP   8. CController->display() /server/duorou/application/controller/Index.php:30
[01-Jun-2014 18:09:55 PRC] PHP   9. CTemplateAdapter->display() /server/duorou/system/web/CController.php:30
[01-Jun-2014 18:09:55 PRC] PHP  10. CTemplateAdapter->__call() /server/duorou/system/web/CController.php:30
[01-Jun-2014 18:09:55 PRC] PHP  11. call_user_func_array() /server/duorou/system/web/template/CTemplateAdapter.php:62
[01-Jun-2014 18:09:55 PRC] PHP  12. PhpTemplate->display() /server/duorou/system/web/template/CTemplateAdapter.php:62
[01-Jun-2014 18:09:55 PRC] PHP  13. PhpTemplate->fetch() /server/duorou/system/web/template/PhpTemplate.php:55
[01-Jun-2014 18:09:55 PRC] PHP  14. include() /server/duorou/system/web/template/PhpTemplate.php:18
[01-Jun-2014 18:09:55 PRC] PHP  15. TestForm->__construct() /server/duorou/util/form/demo/form.php:110
[01-Jun-2014 18:09:55 PRC] PHP  16. HRRBase::autoload() /server/duorou/util/form/demo/form.php:0
[01-Jun-2014 18:09:55 PRC] PHP  17. include() /server/duorou/system/HRRBase.php:21
[01-Jun-2014 18:10:07 PRC] PHP Fatal error:  Undefined constant 'util\form\validator' in /server/duorou/util/form/validator/RegexpConfig.php on line 2
[01-Jun-2014 18:10:07 PRC] PHP Stack trace:
[01-Jun-2014 18:10:07 PRC] PHP   1. {main}() /server/duorou/application/webroot/index.php:0
[01-Jun-2014 18:10:07 PRC] PHP   2. CApplication->run() /server/duorou/application/webroot/index.php:24
[01-Jun-2014 18:10:07 PRC] PHP   3. CWebApplication->processRequest() /server/duorou/system/base/CApplication.php:94
[01-Jun-2014 18:10:07 PRC] PHP   4. CWebApplication->runController() /server/duorou/system/web/CWebApplication.php:6
[01-Jun-2014 18:10:07 PRC] PHP   5. CController->run() /server/duorou/system/web/CWebApplication.php:13
[01-Jun-2014 18:10:07 PRC] PHP   6. CController->runAction() /server/duorou/system/web/CController.php:7
[01-Jun-2014 18:10:07 PRC] PHP   7. Index->testAction() /server/duorou/system/web/CController.php:26
[01-Jun-2014 18:10:07 PRC] PHP   8. CController->display() /server/duorou/application/controller/Index.php:30
[01-Jun-2014 18:10:07 PRC] PHP   9. CTemplateAdapter->display() /server/duorou/system/web/CController.php:30
[01-Jun-2014 18:10:07 PRC] PHP  10. CTemplateAdapter->__call() /server/duorou/system/web/CController.php:30
[01-Jun-2014 18:10:07 PRC] PHP  11. call_user_func_array() /server/duorou/system/web/template/CTemplateAdapter.php:62
[01-Jun-2014 18:10:07 PRC] PHP  12. PhpTemplate->display() /server/duorou/system/web/template/CTemplateAdapter.php:62
[01-Jun-2014 18:10:07 PRC] PHP  13. PhpTemplate->fetch() /server/duorou/system/web/template/PhpTemplate.php:55
[01-Jun-2014 18:10:07 PRC] PHP  14. include() /server/duorou/system/web/template/PhpTemplate.php:18
[01-Jun-2014 18:10:07 PRC] PHP  15. TestForm->__construct() /server/duorou/util/form/demo/form.php:110
[01-Jun-2014 18:10:07 PRC] PHP  16. HRRBase::autoload() /server/duorou/util/form/demo/form.php:0
[01-Jun-2014 18:10:07 PRC] PHP  17. include() /server/duorou/system/HRRBase.php:21
[01-Jun-2014 18:10:08 PRC] PHP Fatal error:  Undefined constant 'util\form\validator' in /server/duorou/util/form/validator/RegexpConfig.php on line 2
[01-Jun-2014 18:10:08 PRC] PHP Stack trace:
[01-Jun-2014 18:10:08 PRC] PHP   1. {main}() /server/duorou/application/webroot/index.php:0
[01-Jun-2014 18:10:08 PRC] PHP   2. CApplication->run() /server/duorou/application/webroot/index.php:24
[01-Jun-2014 18:10:08 PRC] PHP   3. CWebApplication->processRequest() /server/duorou/system/base/CApplication.php:94
[01-Jun-2014 18:10:08 PRC] PHP   4. CWebApplication->runController() /server/duorou/system/web/CWebApplication.php:6
[01-Jun-2014 18:10:08 PRC] PHP   5. CController->run() /server/duorou/system/web/CWebApplication.php:13
[01-Jun-2014 18:10:08 PRC] PHP   6. CController->runAction() /server/duorou/system/web/CController.php:7
[01-Jun-2014 18:10:08 PRC] PHP   7. Index->testAction() /server/duorou/system/web/CController.php:26
[01-Jun-2014 18:10:08 PRC] PHP   8. CController->display() /server/duorou/application/controller/Index.php:30
[01-Jun-2014 18:10:08 PRC] PHP   9. CTemplateAdapter->display() /server/duorou/system/web/CController.php:30
[01-Jun-2014 18:10:08 PRC] PHP  10. CTemplateAdapter->__call() /server/duorou/system/web/CController.php:30
[01-Jun-2014 18:10:08 PRC] PHP  11. call_user_func_array() /server/duorou/system/web/template/CTemplateAdapter.php:62
[01-Jun-2014 18:10:08 PRC] PHP  12. PhpTemplate->display() /server/duorou/system/web/template/CTemplateAdapter.php:62
